configurations,generic format,exact frequency,samsung galaxy format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
3300-0003,[3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3],[1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000],[3- 3- 0- 0- 0- 0- 0- 3],[1690000- 1690000- 0- 0- 0- 0- 0- 2314000],89.83036560611352,2554.0902106851904,4.69256e+11,1.91431e-10,2328500,2317500
2022-2000,[2- 0- 2- 2- 0- 0- 0- 0- 0- 2- 0- 0- 0],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 1469000- 0- 0- 0],[2- 0- 2- 2- 2- 0- 0- 0],[1248000- 0- 1248000- 1248000- 1469000- 0- 0- 0],48.52716086485202,1435.1120551160623,3.97489e+11,1.22084e-10,2316000,2316000
0202-2000,[0- 2- 0- 2- 0- 0- 0- 0- 0- 2- 0- 0- 0],[0- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 1469000- 0- 0- 0],[0- 2- 0- 2- 2- 0- 0- 0],[0- 1248000- 0- 1248000- 1469000- 0- 0- 0],44.5650759324087,1328.2802893934504,3.04521e+11,1.46345e-10,2314500,2314500
0033-3033,[0- 0- 3- 3- 0- 0- 0- 0- 0- 3- 0- 3- 3],[0- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 2314000],[0- 0- 3- 3- 3- 0- 3- 3],[0- 0- 1690000- 1690000- 2314000- 0- 2314000- 2314000],89.85894915963877,2555.3437153328628,1.37561e+12,6.5323e-11,2284000,2196000
3303-0303,[3- 3- 0- 3- 0- 0- 0- 0- 0- 0- 3- 0- 3],[1690000- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[3- 3- 0- 3- 0- 3- 0- 3],[1690000- 1690000- 0- 1690000- 0- 2314000- 0- 2314000],89.9844523605923,2559.8900093376433,1.06237e+12,8.47016e-11,2291000,2239000
0011-2222,[0- 0- 1- 1- 0- 0- 0- 0- 0- 2- 2- 2- 2],[0- 0- 598000- 598000- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 1469000],[0- 0- 1- 1- 2- 2- 2- 2],[0- 0- 598000- 598000- 1469000- 1469000- 1469000- 1469000],90.01459534485691,2559.6465811101757,1.10322e+12,8.15926e-11,2287500,2271500
1001-1110,[1- 0- 0- 1- 0- 0- 0- 0- 0- 1- 1- 1- 0],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 741000- 741000- 741000- 0],[1- 0- 0- 1- 1- 1- 1- 0],[598000- 0- 0- 598000- 741000- 741000- 741000- 0],53.51269799305665,1582.8155114246738,4.59654e+11,1.1642e-10,2269500,2269500
0220-2202,[0- 2- 2- 0- 0- 0- 0- 0- 0- 2- 2- 0- 2],[0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 1469000],[0- 2- 2- 0- 2- 2- 0- 2],[0- 1248000- 1248000- 0- 1469000- 1469000- 0- 1469000],87.52840614706851,2494.8702628042174,8.40947e+11,1.04083e-10,2265500,2265000
0222-0330,[0- 2- 2- 2- 0- 0- 0- 0- 0- 0- 3- 3- 0],[0- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0],[0- 2- 2- 2- 0- 3- 3- 0],[0- 1248000- 1248000- 1248000- 0- 2314000- 2314000- 0],54.47018054578831,1602.7171747715377,5.30397e+11,1.02697e-10,2268500,2268500
1000-0300,[1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 0],[598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[1- 0- 0- 0- 0- 3- 0- 0],[598000- 0- 0- 0- 0- 2314000- 0- 0],39.70659602845413,1181.9963546218619,1.50338e+11,2.64115e-10,2267500,2267500
2002-0110,[2- 0- 0- 2- 0- 0- 0- 0- 0- 0- 1- 1- 0],[1248000- 0- 0- 1248000- 0- 0- 0- 0- 0- 0- 741000- 741000- 0],[2- 0- 0- 2- 0- 1- 1- 0],[1248000- 0- 0- 1248000- 0- 741000- 741000- 0],51.87492795615488,1528.9742971558794,4.33905e+11,1.19554e-10,2265500,2265500
0020-2202,[0- 0- 2- 0- 0- 0- 0- 0- 0- 2- 2- 0- 2],[0- 0- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 1469000],[0- 0- 2- 0- 2- 2- 0- 2],[0- 0- 1248000- 0- 1469000- 1469000- 0- 1469000],87.4485008852387,2496.4478796501353,7.96616e+11,1.09775e-10,2261500,2260500
0003-0003,[0- 0- 0- 3- 0- 0- 0- 0- 0- 0- 0- 0- 3],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000],[0- 0- 0- 3- 0- 0- 0- 3],[0- 0- 0- 1690000- 0- 0- 0- 2314000],90.21059268165739,2564.276060520628,5.13984e+11,1.75512e-10,2250500,2230500
1001-3300,[1- 0- 0- 1- 0- 0- 0- 0- 0- 3- 3- 0- 0],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 0],[1- 0- 0- 1- 3- 3- 0- 0],[598000- 0- 0- 598000- 2314000- 2314000- 0- 0],46.670152422387844,1384.8254511195948,3.33819e+11,1.39807e-10,2246000,2246000
0100-0222,[0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000],[0- 1- 0- 0- 0- 2- 2- 2],[0- 598000- 0- 0- 0- 1469000- 1469000- 1469000],87.23879532522342,2483.793541688953,7.95032e+11,1.0973e-10,2242500,2242000
3303-0002,[3- 3- 0- 3- 0- 0- 0- 0- 0- 0- 0- 0- 2],[1690000- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[3- 3- 0- 3- 0- 0- 0- 2],[1690000- 1690000- 0- 1690000- 0- 0- 0- 1469000],75.97599744561263,2184.926262679307,6.26305e+11,1.21308e-10,2240000,2240000
1110-1110,[1- 1- 1- 0- 0- 0- 0- 0- 0- 1- 1- 1- 0],[598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000- 0],[1- 1- 1- 0- 1- 1- 1- 0],[598000- 598000- 598000- 0- 741000- 741000- 741000- 0],53.686055392588955,1577.116957406461,4.68074e+11,1.14696e-10,2238500,2238500
1010-0111,[1- 0- 1- 0- 0- 0- 0- 0- 0- 0- 1- 1- 1],[598000- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000],[1- 0- 1- 0- 0- 1- 1- 1],[598000- 0- 598000- 0- 0- 741000- 741000- 741000],56.77929283702842,1663.0419593216477,4.46703e+11,1.27107e-10,2237000,2237000
1001-0222,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 2- 2- 2],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000],[1- 0- 0- 1- 0- 2- 2- 2],[598000- 0- 0- 598000- 0- 1469000- 1469000- 1469000],88.22648409966297,2513.181624445778,8.6487e+11,1.02011e-10,2233000,2232500
2022-0303,[2- 0- 2- 2- 0- 0- 0- 0- 0- 0- 3- 0- 3],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[2- 0- 2- 2- 0- 3- 0- 3],[1248000- 0- 1248000- 1248000- 0- 2314000- 0- 2314000],90.23369930045841,2565.8747085123564,1.11014e+12,8.12814e-11,2210500,2138000
3030-3300,[3- 0- 3- 0- 0- 0- 0- 0- 0- 3- 3- 0- 0],[1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 0],[3- 0- 3- 0- 3- 3- 0- 0],[1690000- 0- 1690000- 0- 2314000- 2314000- 0- 0],46.296824084392036,1370.1643558866706,3.14333e+11,1.47286e-10,2223000,2223000
1011-0010,[1- 0- 1- 1- 0- 0- 0- 0- 0- 0- 0- 1- 0],[598000- 0- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 741000- 0],[1- 0- 1- 1- 0- 0- 1- 0],[598000- 0- 598000- 598000- 0- 0- 741000- 0],40.819162691068975,1212.0103378243914,2.19289e+11,1.86143e-10,2221500,2221500
0111-0220,[0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 2- 2- 0],[0- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0],[0- 1- 1- 1- 0- 2- 2- 0],[0- 598000- 598000- 598000- 0- 1469000- 1469000- 0],47.281519124228424,1401.799399940083,3.80669e+11,1.24206e-10,2220000,2220000
2222-1111,[2- 2- 2- 2- 0- 0- 0- 0- 0- 1- 1- 1- 1],[1248000- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 741000- 741000- 741000- 741000],[2- 2- 2- 2- 1- 1- 1- 1],[1248000- 1248000- 1248000- 1248000- 741000- 741000- 741000- 741000],68.63969058590975,1997.497552156055,8.31168e+11,8.25822e-11,2218500,2218500
0100-1101,[0- 1- 0- 0- 0- 0- 0- 0- 0- 1- 1- 0- 1],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 741000],[0- 1- 0- 0- 1- 1- 0- 1],[0- 598000- 0- 0- 741000- 741000- 0- 741000],52.69402363117696,1544.6393039006173,3.96147e+11,1.33016e-10,2217000,2217000
0101-2200,[0- 1- 0- 1- 0- 0- 0- 0- 0- 2- 2- 0- 0],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 0],[0- 1- 0- 1- 2- 2- 0- 0],[0- 598000- 0- 598000- 1469000- 1469000- 0- 0],50.98674333888646,1510.7511388502753,3.37222e+11,1.51196e-10,2215500,2215500
0222-0220,[0- 2- 2- 2- 0- 0- 0- 0- 0- 0- 2- 2- 0],[0- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0],[0- 2- 2- 2- 0- 2- 2- 0],[0- 1248000- 1248000- 1248000- 0- 1469000- 1469000- 0],54.18795238918226,1599.05495628668,5.29664e+11,1.02306e-10,2214000,2214000
2200-0330,[2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 3- 3- 0],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0],[2- 2- 0- 0- 0- 3- 3- 0],[1248000- 1248000- 0- 0- 0- 2314000- 2314000- 0],46.12458770548441,1366.4025489839037,3.15312e+11,1.46282e-10,2212000,2212000
0222-0222,[0- 2- 2- 2- 0- 0- 0- 0- 0- 0- 2- 2- 2],[0- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000],[0- 2- 2- 2- 0- 2- 2- 2],[0- 1248000- 1248000- 1248000- 0- 1469000- 1469000- 1469000],90.26465041372113,2569.3898921116856,1.05368e+12,8.56661e-11,2206500,2200000
0101-2220,[0- 1- 0- 1- 0- 0- 0- 0- 0- 2- 2- 2- 0],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[0- 1- 0- 1- 2- 2- 2- 0],[0- 598000- 0- 598000- 1469000- 1469000- 1469000- 0],53.06593751545084,1561.3793714014776,4.61811e+11,1.14908e-10,2203500,2203500
1011-1000,[1- 0- 1- 1- 0- 0- 0- 0- 0- 1- 0- 0- 0],[598000- 0- 598000- 598000- 0- 0- 0- 0- 0- 741000- 0- 0- 0],[1- 0- 1- 1- 1- 0- 0- 0],[598000- 0- 598000- 598000- 741000- 0- 0- 0],40.70494038033893,1219.0062739870905,2.55088e+11,1.59572e-10,2201000,2201000
0300-2220,[0- 3- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2- 0],[0- 1690000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[0- 3- 0- 0- 2- 2- 2- 0],[0- 1690000- 0- 0- 1469000- 1469000- 1469000- 0],52.44350488615942,1542.091588340888,4.07163e+11,1.28802e-10,2199000,2199000
