configurations,generic format,exact frequency,samsung galaxy format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
3303-0033,[3- 3- 0- 3- 0- 0- 0- 0- 0- 0- 0- 3- 3],[1690000- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000],[3- 3- 0- 3- 0- 0- 3- 3],[1690000- 1690000- 0- 1690000- 0- 0- 2314000- 2314000],,,,,2554000,
0200-3030,[0- 2- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3- 0],[0- 1248000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[0- 2- 0- 0- 3- 0- 3- 0],[0- 1248000- 0- 0- 2314000- 0- 2314000- 0],46.10394598797739,1362.815549981708,2.79222e+11,1.65116e-10,2550500,2550500
2022-0001,[2- 0- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 1],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 741000],[2- 0- 2- 2- 0- 0- 0- 1],[1248000- 0- 1248000- 1248000- 0- 0- 0- 741000],48.14850422778429,1431.0911124312947,3.98897e+11,1.20704e-10,2548500,2548500
2220-1011,[2- 2- 2- 0- 0- 0- 0- 0- 0- 1- 0- 1- 1],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 741000- 0- 741000- 741000],[2- 2- 2- 0- 1- 0- 1- 1],[1248000- 1248000- 1248000- 0- 741000- 0- 741000- 741000],59.70151513014381,1754.71575733715,6.06357e+11,9.84593e-11,2547000,2547000
0003-0200,[0- 0- 0- 3- 0- 0- 0- 0- 0- 0- 2- 0- 0],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[0- 0- 0- 3- 0- 2- 0- 0],[0- 0- 0- 1690000- 0- 1469000- 0- 0],50.49972320550031,1493.8305317604538,2.43003e+11,2.07815e-10,2546000,2546000
0000-0300,[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[0- 0- 0- 0- 0- 3- 0- 0],[0- 0- 0- 0- 0- 2314000- 0- 0],39.34551567201966,1171.1142874148386,1.17998e+11,3.33442e-10,2545000,2545000
1111-0200,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 2- 0- 0],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[1- 1- 1- 1- 0- 2- 0- 0],[598000- 598000- 598000- 598000- 0- 1469000- 0- 0],42.305723316364656,1263.7248945001115,2.90294e+11,1.45734e-10,2543500,2543500
1110-1100,[1- 1- 1- 0- 0- 0- 0- 0- 0- 1- 1- 0- 0],[598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[1- 1- 1- 0- 1- 1- 0- 0],[598000- 598000- 598000- 0- 741000- 741000- 0- 0],47.360637538909664,1404.4941721257012,3.46349e+11,1.36743e-10,2542000,2542000
0100-2022,[0- 1- 0- 0- 0- 0- 0- 0- 0- 2- 0- 2- 2],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[0- 1- 0- 0- 2- 0- 2- 2],[0- 598000- 0- 0- 1469000- 0- 1469000- 1469000],87.76713294551504,2509.480762780765,7.90258e+11,1.11061e-10,2540000,2539000
0003-0303,[0- 0- 0- 3- 0- 0- 0- 0- 0- 0- 3- 0- 3],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[0- 0- 0- 3- 0- 3- 0- 3],[0- 0- 0- 1690000- 0- 2314000- 0- 2314000],90.27370476757682,2571.1392244262943,9.37296e+11,9.63129e-11,2518500,2446500
