configurations,generic format,exact frequency,samsung galaxy format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
1010-0000,[1- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[598000- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 1- 0- 0- 0- 0- 0],[598000- 0- 598000- 0- 0- 0- 0- 0],33.183528785008455,996.6608211911024,6.09273e+10,5.44641e-10,2488000,2488000
3333-2002,[3- 3- 3- 3- 0- 0- 0- 0- 0- 2- 0- 0- 2],[1690000- 1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 1469000- 0- 0- 1469000],[3- 3- 3- 3- 2- 0- 0- 2],[1690000- 1690000- 1690000- 1690000- 1469000- 0- 0- 1469000],90.83815606507508,2584.7758725444814,1.00719e+12,9.01897e-11,2481000,2469500
3333-0303,[3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 3- 0- 3],[1690000- 1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000],[3- 3- 3- 3- 0- 3- 0- 3],[1690000- 1690000- 1690000- 1690000- 0- 2314000- 0- 2314000],90.83349168495118,2585.6450713118265,1.13185e+12,8.02522e-11,2445000,2399500
2220-0022,[2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 2- 2],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000],[2- 2- 2- 0- 0- 0- 2- 2],[1248000- 1248000- 1248000- 0- 0- 0- 1469000- 1469000],73.16942649261378,2108.967880848539,6.15352e+11,1.18907e-10,2462500,2462500
0100-0030,[0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0],[0- 1- 0- 0- 0- 0- 3- 0],[0- 598000- 0- 0- 0- 0- 2314000- 0],39.44392969429446,1174.5958154411828,1.50834e+11,2.61506e-10,2461500,2461500
0020-2022,[0- 0- 2- 0- 0- 0- 0- 0- 0- 2- 0- 2- 2],[0- 0- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[0- 0- 2- 0- 2- 0- 2- 2],[0- 0- 1248000- 0- 1469000- 0- 1469000- 1469000],86.82899185243416,2483.477933140215,7.91896e+11,1.09647e-10,2458000,2457500
1100-0011,[1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1- 1],[598000- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 741000],[1- 1- 0- 0- 0- 0- 1- 1],[598000- 598000- 0- 0- 0- 0- 741000- 741000],45.94915231116237,1361.4245436108638,3.11121e+11,1.47689e-10,2456000,2456000
1000-0200,[1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0],[598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[1- 0- 0- 0- 0- 2- 0- 0],[598000- 0- 0- 0- 0- 1469000- 0- 0],39.28516691705545,1168.9345285404715,1.51307e+11,2.59639e-10,2454500,2454500
2000-0200,[2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0],[1248000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[2- 0- 0- 0- 0- 2- 0- 0],[1248000- 0- 0- 0- 0- 1469000- 0- 0],39.28492318173032,1165.1300121783097,1.50983e+11,2.60194e-10,2453500,2453500
2002-0033,[2- 0- 0- 2- 0- 0- 0- 0- 0- 0- 0- 3- 3],[1248000- 0- 0- 1248000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000],[2- 0- 0- 2- 0- 0- 3- 3],[1248000- 0- 0- 1248000- 0- 0- 2314000- 2314000],91.1644553929722,2594.5600157696776,1.0066e+12,9.05667e-11,2434500,2369000
2220-0200,[2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[2- 2- 2- 0- 0- 2- 0- 0],[1248000- 1248000- 1248000- 0- 0- 1469000- 0- 0],42.68359200793935,1272.1152796381175,3.02264e+11,1.41213e-10,2438000,2438000
3303-0002,[3- 3- 0- 3- 0- 0- 0- 0- 0- 0- 0- 0- 2],[1690000- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[3- 3- 0- 3- 0- 0- 0- 2],[1690000- 1690000- 0- 1690000- 0- 0- 0- 1469000],74.78520679812058,2163.291646618302,6.27719e+11,1.19138e-10,2435500,2436000
0101-2020,[0- 1- 0- 1- 0- 0- 0- 0- 0- 2- 0- 2- 0],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 0],[0- 1- 0- 1- 2- 0- 2- 0],[0- 598000- 0- 598000- 1469000- 0- 1469000- 0],46.624449883999155,1384.2998191177737,3.36052e+11,1.38742e-10,2434500,2434500
0200-2220,[0- 2- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2- 0],[0- 1248000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[0- 2- 0- 0- 2- 2- 2- 0],[0- 1248000- 0- 0- 1469000- 1469000- 1469000- 0],52.04989770082893,1534.3550744539166,4.05195e+11,1.28456e-10,2432500,2432500
0100-0333,[0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 3- 3- 3],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000],[0- 1- 0- 0- 0- 3- 3- 3],[0- 598000- 0- 0- 0- 2314000- 2314000- 2314000],86.01002716183001,2456.9719537226333,9.48282e+11,9.07009e-11,2403500,2355500
0110-1111,[0- 1- 1- 0- 0- 0- 0- 0- 0- 1- 1- 1- 1],[0- 598000- 598000- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000- 741000],[0- 1- 1- 0- 1- 1- 1- 1],[0- 598000- 598000- 0- 741000- 741000- 741000- 741000],58.30695061504882,1711.0403954629157,5.58316e+11,1.04434e-10,2415500,2415500
2000-2220,[2- 0- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2- 0],[1248000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[2- 0- 0- 0- 2- 2- 2- 0],[1248000- 0- 0- 0- 1469000- 1469000- 1469000- 0],51.77398405678647,1531.4114249047118,4.07272e+11,1.27124e-10,2414500,2414500
0001-1010,[0- 0- 0- 1- 0- 0- 0- 0- 0- 1- 0- 1- 0],[0- 0- 0- 598000- 0- 0- 0- 0- 0- 741000- 0- 741000- 0],[0- 0- 0- 1- 1- 0- 1- 0],[0- 0- 0- 598000- 741000- 0- 741000- 0],45.53821500451404,1355.432748106601,2.90132e+11,1.56957e-10,2412500,2412500
2020-1110,[2- 0- 2- 0- 0- 0- 0- 0- 0- 1- 1- 1- 0],[1248000- 0- 1248000- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000- 0],[2- 0- 2- 0- 1- 1- 1- 0],[1248000- 0- 1248000- 0- 741000- 741000- 741000- 0],52.667563567092444,1549.4710343251256,4.438e+11,1.18674e-10,2411500,2411500
1101-0330,[1- 1- 0- 1- 0- 0- 0- 0- 0- 0- 3- 3- 0],[598000- 598000- 0- 598000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0],[1- 1- 0- 1- 0- 3- 3- 0],[598000- 598000- 0- 598000- 0- 2314000- 2314000- 0],47.53954139270677,1399.9659109737981,3.81959e+11,1.24462e-10,2409500,2409500
2200-3030,[2- 2- 0- 0- 0- 0- 0- 0- 0- 3- 0- 3- 0],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[2- 2- 0- 0- 3- 0- 3- 0],[1248000- 1248000- 0- 0- 2314000- 0- 2314000- 0],45.897499448583034,1362.2217646899223,3.14163e+11,1.46095e-10,2408000,2408000
0030-3303,[0- 0- 3- 0- 0- 0- 0- 0- 0- 3- 3- 0- 3],[0- 0- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 2314000],[0- 0- 3- 0- 3- 3- 0- 3],[0- 0- 1690000- 0- 2314000- 2314000- 0- 2314000],90.60934290419034,2579.7132956128917,1.16934e+12,7.74876e-11,2378500,2295000
3030-3003,[3- 0- 3- 0- 0- 0- 0- 0- 0- 3- 0- 0- 3],[1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0- 2314000],[3- 0- 3- 0- 3- 0- 0- 3],[1690000- 0- 1690000- 0- 2314000- 0- 0- 2314000],91.35347102360318,2600.9634313689126,8.88363e+11,1.02833e-10,2378500,2317000
0022-0222,[0- 0- 2- 2- 0- 0- 0- 0- 0- 0- 2- 2- 2],[0- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000],[0- 0- 2- 2- 0- 2- 2- 2],[0- 0- 1248000- 1248000- 0- 1469000- 1469000- 1469000],91.39655756236327,2601.5343232160412,9.6037e+11,9.51681e-11,2371500,2369500
2202-3333,[2- 2- 0- 2- 0- 0- 0- 0- 0- 3- 3- 3- 3],[1248000- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 2314000],[2- 2- 0- 2- 3- 3- 3- 3],[1248000- 1248000- 0- 1248000- 2314000- 2314000- 2314000- 2314000],91.2629471347553,2598.1689167738386,1.52316e+12,5.99168e-11,2338000,2274500
3003-3303,[3- 0- 0- 3- 0- 0- 0- 0- 0- 3- 3- 0- 3],[1690000- 0- 0- 1690000- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 2314000],[3- 0- 0- 3- 3- 3- 0- 3],[1690000- 0- 0- 1690000- 2314000- 2314000- 0- 2314000],91.48590224414237,2601.912304883867,1.3418e+12,6.81815e-11,2330000,2253500
2022-0300,[2- 0- 2- 2- 0- 0- 0- 0- 0- 0- 3- 0- 0],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[2- 0- 2- 2- 0- 3- 0- 0],[1248000- 0- 1248000- 1248000- 0- 2314000- 0- 0],47.22626448231035,1404.4256738704491,4.03627e+11,1.17005e-10,2337000,2337000
3033-3033,[3- 0- 3- 3- 0- 0- 0- 0- 0- 3- 0- 3- 3],[1690000- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 2314000],[3- 0- 3- 3- 3- 0- 3- 3],[1690000- 0- 1690000- 1690000- 2314000- 0- 2314000- 2314000],91.14791319298523,2595.0486194332834,1.51743e+12,6.00673e-11,2306500,2209000
0303-1001,[0- 3- 0- 3- 0- 0- 0- 0- 0- 1- 0- 0- 1],[0- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 741000- 0- 0- 741000],[0- 3- 0- 3- 1- 0- 0- 1],[0- 1690000- 0- 1690000- 741000- 0- 0- 741000],63.57237459348866,1854.6648580956457,5.03581e+11,1.26241e-10,2321500,2321500
0220-0030,[0- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0],[0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0],[0- 2- 2- 0- 0- 0- 3- 0],[0- 1248000- 1248000- 0- 0- 0- 2314000- 0],39.758510416877954,1184.6158406982167,1.87023e+11,2.12586e-10,2320000,2320000
0003-2200,[0- 0- 0- 3- 0- 0- 0- 0- 0- 2- 2- 0- 0],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 0],[0- 0- 0- 3- 2- 2- 0- 0],[0- 0- 0- 1690000- 1469000- 1469000- 0- 0],57.01041146071817,1671.7541039480982,3.64861e+11,1.56252e-10,2319000,2319000
1111-0200,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 2- 0- 0],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[1- 1- 1- 1- 0- 2- 0- 0],[598000- 598000- 598000- 598000- 0- 1469000- 0- 0],41.38997957004534,1233.2040531200137,2.90512e+11,1.42473e-10,2317500,2317500
0303-0200,[0- 3- 0- 3- 0- 0- 0- 0- 0- 0- 2- 0- 0],[0- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[0- 3- 0- 3- 0- 2- 0- 0],[0- 1690000- 0- 1690000- 0- 1469000- 0- 0],55.83559336409638,1646.3161410961156,3.70953e+11,1.50519e-10,2316000,2316000
2220-2202,[2- 2- 2- 0- 0- 0- 0- 0- 0- 2- 2- 0- 2],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 1469000],[2- 2- 2- 0- 2- 2- 0- 2],[1248000- 1248000- 1248000- 0- 1469000- 1469000- 0- 1469000],90.36794395948534,2573.5376417172633,9.5438e+11,9.46876e-11,2311500,2310500
1111-1101,[1- 1- 1- 1- 0- 0- 0- 0- 0- 1- 1- 0- 1],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 741000- 741000- 0- 741000],[1- 1- 1- 1- 1- 1- 0- 1],[598000- 598000- 598000- 598000- 741000- 741000- 0- 741000],54.188707093415594,1600.4146437350414,5.24034e+11,1.03407e-10,2309000,2309000
3300-3003,[3- 3- 0- 0- 0- 0- 0- 0- 0- 3- 0- 0- 3],[1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0- 0- 2314000],[3- 3- 0- 0- 3- 0- 0- 3],[1690000- 1690000- 0- 0- 2314000- 0- 0- 2314000],91.0378905251894,2590.864955311569,8.86305e+11,1.02716e-10,2290000,2228000
3033-0000,[3- 0- 3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1690000- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 0- 3- 3- 0- 0- 0- 0],[1690000- 0- 1690000- 1690000- 0- 0- 0- 0],55.63901610973564,1629.1899347283022,3.69696e+11,1.50499e-10,2306500,2306500
2000-0202,[2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0- 2],[1248000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 1469000],[2- 0- 0- 0- 0- 2- 0- 2],[1248000- 0- 0- 0- 0- 1469000- 0- 1469000],69.24427915706875,2000.7050198745412,5.37851e+11,1.28742e-10,2304500,2304500
3333-0300,[3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 3- 0- 0],[1690000- 1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[3- 3- 3- 3- 0- 3- 0- 0],[1690000- 1690000- 1690000- 1690000- 0- 2314000- 0- 0],68.8585881417663,2002.428224969299,6.25572e+11,1.10073e-10,2302500,2302500
0003-2022,[0- 0- 0- 3- 0- 0- 0- 0- 0- 2- 0- 2- 2],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[0- 0- 0- 3- 2- 0- 2- 2],[0- 0- 0- 1690000- 1469000- 0- 1469000- 1469000],91.1025149142987,2593.115315255358,8.94489e+11,1.01849e-10,2296500,2288000
