configurations,generic format,exact frequency,samsung galaxy format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
0110-0330,[0- 1- 1- 0- 0- 0- 0- 0- 0- 0- 3- 3- 0],[0- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0],[0- 1- 1- 0- 0- 3- 3- 0],[0- 598000- 598000- 0- 0- 2314000- 2314000- 0],46.539797885560766,1374.6119731680615,3.15053e+11,1.47721e-10,2433000,2433000
1010-0002,[1- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2],[598000- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[1- 0- 1- 0- 0- 0- 0- 2],[598000- 0- 598000- 0- 0- 0- 0- 1469000],52.08781936375883,1531.6398007502453,3.15917e+11,1.64878e-10,2432000,2432000
0300-2222,[0- 3- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2- 2],[0- 1690000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 1469000],[0- 3- 0- 0- 2- 2- 2- 2],[0- 1690000- 0- 0- 1469000- 1469000- 1469000- 1469000],90.94644551387883,2590.0010874401855,1.05915e+12,8.58674e-11,2427000,2412500
2220-3000,[2- 2- 2- 0- 0- 0- 0- 0- 0- 3- 0- 0- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0- 0],[2- 2- 2- 0- 3- 0- 0- 0],[1248000- 1248000- 1248000- 0- 2314000- 0- 0- 0],41.265027224332705,1226.1695383315196,2.18292e+11,1.89036e-10,2411500,2411500
0022-2000,[0- 0- 2- 2- 0- 0- 0- 0- 0- 2- 0- 0- 0],[0- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 1469000- 0- 0- 0],[0- 0- 2- 2- 2- 0- 0- 0],[0- 0- 1248000- 1248000- 1469000- 0- 0- 0],45.322933598072254,1343.0198442106912,3.04192e+11,1.48994e-10,2410500,2410500
2020-0010,[2- 0- 2- 0- 0- 0- 0- 0- 0- 0- 0- 1- 0],[1248000- 0- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 0],[2- 0- 2- 0- 0- 0- 1- 0],[1248000- 0- 1248000- 0- 0- 0- 741000- 0],40.37074019418745,1201.8758474840156,1.77684e+11,2.27205e-10,2409000,2409000
0111-0200,[0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 2- 0- 0],[0- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[0- 1- 1- 1- 0- 2- 0- 0],[0- 598000- 598000- 598000- 0- 1469000- 0- 0],41.53643970485774,1240.784016709935,2.51166e+11,1.65374e-10,2407500,2407500
0200-0022,[0- 2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2- 2],[0- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000],[0- 2- 0- 0- 0- 0- 2- 2],[0- 1248000- 0- 0- 0- 0- 1469000- 1469000],91.47904234254537,2599.7445223711943,8.43528e+11,1.08448e-10,2392500,2332000
2200-0330,[2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 3- 3- 0],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0],[2- 2- 0- 0- 0- 3- 3- 0],[1248000- 1248000- 0- 0- 0- 2314000- 2314000- 0],46.84973442272161,1387.3082788912177,3.14521e+11,1.48956e-10,2383000,2383000
0011-0022,[0- 0- 1- 1- 0- 0- 0- 0- 0- 0- 0- 2- 2],[0- 0- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000],[0- 0- 1- 1- 0- 0- 2- 2],[0- 0- 598000- 598000- 0- 0- 1469000- 1469000],69.89785198802754,2029.3492874241288,5.9789e+11,1.16908e-10,2381000,2381000
